ticker,date,foreign_buy,foreign_sell,foreign_net,trust_net,dealer_net,total_net
2351.TW,2023-06-21,733000,283000,450000,70000,32640,552640
2351.TW,2023-06-26,43000,514000,-471000,0,17269,-453731
2351.TW,2023-06-27,126000,354000,-228000,-129000,-4702,-361702
2351.TW,2023-06-28,242000,226000,16000,-73000,18,-56982
2351.TW,2023-06-29,580000,440060,139940,259000,19001,417941
2351.TW,2023-06-30,1311000,1359801,-48801,142000,31748,124947
2351.TW,2023-07-03,473000,516000,-43000,0,119158,76158
2351.TW,2023-07-04,551000,1162000,-611000,93000,55763,-462237
2351.TW,2023-07-05,878000,768000,110000,120000,-56811,173189
2351.TW,2023-07-06,1508000,1374231,133769,-344000,-222787,-433018
2351.TW,2023-07-07,418000,591000,-173000,0,36244,-136756
2351.TW,2023-07-10,220000,260000,-40000,1000,-12963,-51963
2351.TW,2023-07-11,363000,226000,137000,0,-1308,135692
2351.TW,2023-07-12,266000,667000,-401000,0,-24345,-425345
2351.TW,2023-07-13,646000,648200,-2200,-124000,13844,-112356
2351.TW,2023-07-14,297000,987000,-690000,-139000,-50948,-879948
2351.TW,2023-07-17,566000,488000,78000,0,-10515,67485
2351.TW,2023-07-18,304000,548000,-244000,0,-76088,-320088
2351.TW,2023-07-19,127000,2826000,-2699000,-256000,-44707,-2999707
2351.TW,2023-07-20,2186000,1344000,842000,-1530000,-44748,-732748
2351.TW,2023-07-21,973000,1374000,-401000,-1067000,20312,-1447688
2351.TW,2023-07-24,514000,801000,-287000,-30000,-4911,-321911
2351.TW,2023-07-25,701000,681000,20000,-2000,329,18329
2351.TW,2023-07-26,614025,788000,-173975,0,-958,-174933
2351.TW,2023-07-27,328000,299000,29000,-2000,2764,29764
2351.TW,2023-07-28,313000,537000,-224000,0,-973,-224973
2351.TW,2023-07-31,664000,560000,104000,-187000,-22930,-105930
2351.TW,2023-08-01,570000,503000,67000,0,-3548,63452
2351.TW,2023-08-02,351000,839025,-488025,-281000,-106191,-875216
2351.TW,2023-08-04,1015000,197000,818000,1000,-4174,814826
